Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis Urías","ATH",34,149,130,29,18,6,0,5,16,17,15,0,33,4,1,0,,1,0,0.222529,0.0979436,0.220681,0.443825,0.315914,0.382894,0.311512,0.698808,0.160365,3.07125,0.258307,-0.241463,-0.214747,16.879,-0.315998,99.2956,-0.45621,-0.162676,-0.5759490579366684,0.44473110139369965,0.500431,727.219970703125,,,,,,,155.7,4.579411764,155.7,4.579411764,,,,,,,,,,,,,,,,,,,"Luis Urias","16622",649966
"Garrett Mitchell","MIL",31,134,119,28,18,5,1,3,16,13,13,0,41,1,1,1,,6,1,0.232775,0.095931,0.308137,0.311326,0.312475,0.381856,0.307655,0.694331,0.149081,6.78703,0.323364,0.340369,0.481527,14.8181,-0.69929,94.6484,0.821896,0.187011,-0.01812422275543213,0.40738123655319214,0.494407,244.66000366210938,,,,,,,136.8,4.412903225,136.8,4.412903225,,,,,,,,,,,,,,,,,,,"Garrett Mitchell","27555",669003
"Roman Anthony","BOS",66,287,252,62,40,14,1,7,36,31,31,1,72,2,2,1,,6,2,0.247111,0.106325,0.250871,0.423822,0.330025,0.398886,0.3217,0.72891,0.151775,5.37171,0.315356,-0.182437,0.132102,34.8793,1.72753,100.436,-0.0503354,-0.0634065,0.0926358513534069,-4.879456058144569,0.493706,999,,,,,,,312.1,4.728787878,312.1,4.728787878,,,,,,,,,,,,,,,,,,,"Roman Anthony","31812",701350
"Rhys Hoskins","MIL",69,298,258,58,33,11,1,13,34,42,34,1,79,4,2,0,,2,1,0.22431,0.112661,0.264902,0.425293,0.319444,0.427268,0.327197,0.746712,0.202958,3.01566,0.264398,-1.14333,-0.347331,37.49,3.10003,108.015,-1.49066,-0.55645,1.2974843978881836,-6.2601540088653564,0.490387,259.55999755859375,,,,,,,341.6,4.950724637,341.6,4.950724637,,,,,,,,,,,,,,,,,,,"Rhys Hoskins","16472",656555
"Christian Moore","LAA",66,286,260,59,38,11,2,8,32,29,22,0,81,2,2,0,,4,1,0.226762,0.07583,0.283091,0.267864,0.29008,0.376289,0.293188,0.666369,0.149527,5.51428,0.295586,-0.104106,-0.0713953,28.2968,-4.80499,84.4628,-0.175501,-0.586868,-5.259891554713249,0.43627995252609253,0.48839,999,,,,,,,265.7,4.025757575,265.7,4.025757575,,,,,,,,,,,,,,,,,,,"Christian Moore","34979",695681
"Cam Smith","HOU",66,287,257,60,41,10,2,8,34,32,24,1,76,4,2,1,,3,1,0.235065,0.0839318,0.263877,0.318071,0.30829,0.383079,0.304604,0.691368,0.148014,5.01799,0.299618,-0.240637,-0.195739,30.9395,-2.19227,95.7351,-0.436376,0.22314,-1.8332997858524323,-3.004637658596039,0.487797,999,,,,,,,281.5,4.265151515,281.5,4.265151515,,,,,,,,,,,,,,,,,,,"Cam Smith","35108",701358
"Giancarlo Stanton","NYY",51,220,197,45,24,7,0,14,27,36,21,1,65,1,1,0,,0,0,0.229824,0.0939709,0.295678,0.317815,0.305285,0.478266,0.336938,0.783551,0.248442,1.36441,0.263754,-1.08893,-0.292848,29.4743,4.01139,116.829,-1.38178,0,2.854440212249756,-5.509259223937988,0.48538,576.510009765625,,,,,,,272.9,5.350980392,272.9,5.350980392,,,,,,,,,,,,,,,,,,,"Giancarlo Stanton","4949",519317
"Kyle Isbel","KCR",64,276,252,59,39,12,3,5,33,27,17,0,57,3,2,3,,7,2,0.234537,0.0599372,0.207238,0.289219,0.286914,0.369541,0.288446,0.656454,0.135004,6.51645,0.280411,0.645069,0.253996,26.2012,-5.67234,78.4761,0.899064,0.398064,-5.883059322834015,1.383249044418335,0.485318,543.1400146484375,,,,,,,245,3.828125,245,3.828125,,,,,,,,,,,,,,,,,,,"Kyle Isbel","21614",664728
"Alec Burleson","STL",57,247,227,60,42,10,1,7,28,30,16,0,34,2,2,1,,3,1,0.26492,0.0647886,0.137286,0.471925,0.315577,0.412473,0.318316,0.728049,0.147553,3.89782,0.281643,-0.513305,-0.0945017,29.337,0.818524,103.8,-0.607807,-0.266626,0.4884682297706604,-3.8962559401988983,0.480191,247.38999938964844,,,,,,,266.4,4.67368421,266.4,4.67368421,,,,,,,,,,,,,,,,,,,"Alec Burleson","27615",676475
"Christopher Morel","TBR",35,152,135,31,18,6,1,7,19,20,14,0,43,2,1,0,,3,1,0.230747,0.0917729,0.284308,0.322794,0.308815,0.432848,0.322982,0.741664,0.202101,4.64415,0.28374,-0.0323855,-0.146523,18.6885,1.07416,111.075,-0.178908,-0.364237,1.749682143330574,-2.204977869987488,0.479294,267.8699951171875,,,,,,,178.4,5.097142857,178.4,5.097142857,,,,,,,,,,,,,,,,,,,"Christopher Morel","21897",666624
